packaging,base_name,ecommerce_category,mrp
standard,Cadbury Bournville 50% Dark,Chocolates & Confectionery,45
80g,Cadbury Bournville Cranberry,Chocolates & Confectionery,100
13.2g,Cadbury Dairymilk,Chocolates & Confectionery,10
30g,Cadbury Nutties,Chocolates & Confectionery,40
250g,Cake Toast,Bakery & Breads,150
250g,Calcium Ladoo,Indian Sweets,200
100g,Calcutta Pan,Food & Grocery,60
200g,Calcutta Pan,Food & Grocery,200
300g,Pasand Chhundo,Pickles & Chutneys,160
1kg,Captain cook,Food & Grocery,23
standard,Carbolic Soap,Bathing Soaps & Body Wash,25
500g,Chakali bhajani,Snacks & Namkeen,170
150g,Champion Fruit cream biscuits,Biscuits & Cookies,40
standard,Champion Gold 60 g Plpch Wafer Roll Chocolaty Filling,Biscuits & Cookies,30
250g,Kalami Date,Dry Fruits & Nuts,180
250g,Chana Dal,Dals & Pulses,27
500g,Chana Dal,Dals & Pulses,54
75g,Chandrika Soap,Bathing Soaps & Body Wash,29
3*125,Chandrika soap,Bathing Soaps & Body Wash,135
250g,Chane,Food & Grocery,30
500g,Chane,Food & Grocery,60
standard,Chariful,Food & Grocery,24
standard,Chariful,Food & Grocery,48
standard,Chariful,Food & Grocery,120
standard,Chariful,Food & Grocery,240
250g,Chawali,Food & Grocery,45
500g,Chawali,Food & Grocery,90
200g,Cheese Sticks,Cooking Oils,65
200g,Cheese chakli,Snacks & Namkeen,80
standard,Cheesy Chipotle sauce,"Sauces, Jams & Spreads",99
250g,Chilati Dal,Dals & Pulses,40
500g,Chilati Dal,Dals & Pulses,80
standard,Chilati Dal1kg,Dals & Pulses,160
standard,Ching'S Dark soy sauce,"Sauces, Jams & Spreads",25
standard,Ching'S Dark soy sauce,"Sauces, Jams & Spreads",55
250g,Ching's Dragon Fire chutney,Pickles & Chutneys,90
140g,Ching's Just Chowmein,"Noodles, Pasta & Vermicelli",30
40g,Ching's Schezwan Chutney,"Sauces, Jams & Spreads",10
600g,Ching's Schezwan Chutney,Pickles & Chutneys,180
250g,Chakali,Snacks & Namkeen,130
200g,Rice Bhel ,Snacks & Namkeen,80
500g,Chikki Gud,"Sauces, Jams & Spreads",45
250g,Chikki Gud,Flours & Semolina,23
150g,Ching's Whole Wheat Hakka noodles,"Noodles, Pasta & Vermicelli",32
standard,Chipotle mayo,"Sauces, Jams & Spreads",75
200ml,Chitale Buffelo,Ghee & Dairy Fats,154
1L,Chitale Buffelo Ghee,Ghee & Dairy Fats,660
500ml,Chitale Buffelo Ghee,Ghee & Dairy Fats,365
1L,Chitale Cow Ghee,Ghee & Dairy Fats,720
200ml,Chitale Cow Ghee,Ghee & Dairy Fats,142
250g,Chitale bakarwadi,Snacks & Namkeen,110
standard,Chitale instant gulab jamun mix 200 g,Indian Sweets,93
200g,Chitale nistant khaman mix,Ready to Cook & Instant Mixes,47
19g,Chocobakes,Chocolates & Confectionery,10
standard,Chocos,Chocolates & Confectionery,130
standard,Chocos,Chocolates & Confectionery,180
standard,Chorafali,Snacks & Namkeen,70
200g,Chorafali Khakhra,Food & Grocery,100
1klg,Kohinoor,"Rice, Poha & Puffed Rice",240
100g,Churi Sounf,Food & Grocery,50
250g,Chutney,Pickles & Chutneys,90
225g,Cinthol Cool,Bathing Soaps & Body Wash,102
300g,Cinthol Deo Soap,Bathing Soaps & Body Wash,135
300g,Cinthol Lime soap,Bathing Soaps & Body Wash,117
4pack,Cinthol Soap,Bathing Soaps & Body Wash,163
80ml,Clear Shampoo,Hair Care & Shampoo,65
175ml,Clinic Plus Strong & Long,Hair Care & Shampoo,115
80ml,Clinic Plus Strong Scalp,Food & Grocery,52
150g,Closeup,Oral Care & Toothpaste,110
48g,Closeup,Oral Care & Toothpaste,20
80g,Closeup,Oral Care & Toothpaste,53
250g,Coconut Chikki,Indian Sweets,150
standard,Coconut Cookies,Biscuits & Cookies,120
200g,Coconut Tukda Chikki,Indian Sweets,100
180ml,Coconut milk,Milk & Dairy,75
25g,Coconut milk powder,Milk & Dairy,30
standard,Colgate 100 g Cdbox Swarna Vedshakti Anticavity Herbal Family Protctn,Oral Care & Toothpaste,64
